Wuthering Heights , Kate Bush
Careless Whisper , George Michael
Common People , William Shatner
And She Was - 2005 Remastered Version , Talking Heads
September , "Earth, Wind & Fire"
I2I , "Tevin Campbell, Rosie Gaines"
Hips Don't Lie , "Shakira, Wyclef Jean"
Maniac , Michael Sembello
Y.M.C.A. , Village People
Wake Me up Before You Go-Go , Wham!
Holding Out for a Hero , Bonnie Tyler
All Star , Smash Mouth
You Make My Dreams , Daryl Hall & John Oates
Everybody (Backstreet's Back) - Radio Edit , Backstreet Boys
Ocean Man , Ween
Hey Ya! - Radio Mix / Club Mix , OutKast
Hungry Like The Wolf , Duran Duran
Sweet Dreams (Are Made of This) - Remastered , Eurythmics
Take On Me , a-ha
Never Gonna Give You Up , Rick Astley

